公司名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人数,公司类型,所属行业,曾用名,注册地址,最新年报地址,网址,电话,其他电话,邮箱,其他邮箱
金徽酒股份有限公司,存续,周志刚,50725.9997万人民币,-,2009-12-23,2021-05-08,2009-12-23  至 无固定期限,甘肃省,陇南市,徽县,91621200695632863J,91621200695632863J,621227200003057,69563286-3,1512,股份有限公司(上市),酒、饮料和精制茶制造业,"徽县金徽酒业有限公司	",甘肃省陇南市徽 县伏家镇,甘肃省陇南市徽县伏家镇,http://www.jinhuijiu.com/,0939-7551826,0939-7551826;0939-7551980,jhj@jinhuijiu.com,hlx@jinhuijiu.com;yangkai@jinhuijt.com;jhjt@jinhuijt.com
楚天科技股份有限公司,存续,唐岳,57505.2984万人民币,6570万人民币,2002-11-08,2022-06-01,2002-11-08  至 无固定期限,湖南省,长沙市,宁乡市,91430100743176293C,91430100743176293C,430124000003013,74317629-3,4018,股份有限公司(上市、自然人投资或控股),专用设备制造业,"长沙楚天科技有限公司	",宁乡市玉潭镇新康路1号,宁乡市玉潭镇新康路1号,https://www.truking.com,0731-87938200,0731-87938200;0731-87938288,zhouy1@truking.cn,-
福建恒安集团有限公司,存续,施文博,51140.76万人民币,51140.76万人民币,1985-03-16,2021-03-31,1985-03-16 至 2035-03-15,福建省,泉州市,晋江市,91350000611528672E,91350000611528672E,350000400000497,61152867-2,1659,有限责任公司(台港澳与境内合资),纺织业,-,晋江市安海镇恒安工业城,晋江市安海镇恒安工业城,http://www.hengan.com/,0595-85708888,0595-85708888;0595-85708656,chenxp@hengan.com,chenxp@henan.com
石药控股集团有限公司,存续,蔡东晨,52136万人民币,52136万人民币,1998-03-31,2022-06-07,1998-03-31  至 无固定期限,河北省,石家庄市,石家庄高新技术产业开发区,911301002360444643,911301002360444643,130100400009068,236044464,22704,有限责任公司(港澳台法人独资),医药制造业,"石药集团有限责任公司	;	石药集团有限公司	",石家庄市高新区中山东路896号,石家庄市高新区中山东路896号,shiyjituan.com.cn,0311-67809967,0311-67809967;0311-87037015;18233186493,cspc@mail.ecspc.com,wangzhe@mail.ecspc.com;xuanwei@mail.ecspc.com;18233186493@163.com;895021527@qq.com;shiyao@mail.ecspc.com
科沃斯机器人股份有限公司,存续,庄建华,57392.1875万人民币,46130.9976万人民币,1998-03-11,2022-06-14,1998-03-11  至 无固定期限,江苏省,苏州市,吴中区,91320500628396530U,91320500628396530U,320500400005220,628396530,1360,股份有限公司（港澳台投资、上市）,电气机械和器材制造业,"泰怡凯电器（苏州）有限公司	;	科沃斯机器人科技（苏州）有限公司	;	科沃斯机器人有限公司	",苏州市吴中区郭巷街道吴淞江产业园淞苇路518号,苏州市吴中区郭巷街道吴淞江产业园淞苇路518号,http://www.ecovacs.cn,0512-66271836,0512-66271836;0512-66276290;0512-65652452,td.ecovacs@ecovacs.com,fanny.zhou@ecovacs.com;shmily.wu@ecovacs.com;jenny.sun@ecovacs.com;sunjing@ecovacs.com.cn
紫光国芯微电子股份有限公司,存续,马道杰,60681.7968万人民币,57424.5706万人民币,2001-09-17,2020-08-05,2001-09-17  至 无固定期限,河北省,唐山市,玉田县,911302006010646915,911302006010646915,130000000000406,601064691,1,其他股份有限公司(上市),电气机械和器材制造业,"唐山晶源裕丰电子股份有限公司	;	唐山晶源旭丰电子有限公司	;	唐山晶源电子有限公司	;	同方国芯电子股份有限公司	;	紫光国芯股份有限公司	",河北省玉田县无终西街３１２９号,河北省玉田县无终西街3129号,http://www.gosinoic.com,0315-6198116,0315-6198116,office@gosinoic.com,office@jingyuan.com
中微半导体设备（上海）股份有限公司,存续,尹志尧（GERALD ZHEYAO YIN）,61624.448万人民币,45073.1559万人民币,2004-05-31,2021-12-20,2004-05-31  至 无固定期限,上海市,上海市,浦东新区,913101157626272806,913101157626272806,310115400151472,762627280,172,股份有限公司(中外合资、上市),计算机、通信和其他电子设备制造业,"中微半导体设备（上海）有限公司	",上海市浦东新区金桥出口加工区（南区）泰华路188号,上海市浦东新区金桥出口加工区（南区）泰华路188号,www.amecnsh.com,021-61001199,021-61001199;13641933602,ir@amecnsh.com,annlu@amecnsh.com;evewang@amecnsh.com
中建科技集团有限公司,存续,周利杰,200000万人民币,7000万人民币,2015-04-01,2021-03-08,2015-04-01  至 无固定期限,广东省,深圳市,坪山区,91110106335516068G,91110106335516068G,110106018848283,335516068,61,有限责任公司（法人独资）,专用设备制造业,"中建科技有限公司	",深圳市坪山区坪山街道坪山大道2007号创新广场B座B1901,深圳市坪山区坪山街道坪山大道2007号创新广场B座B1901,ccstc-online.com,18825279596,18825279596;0755-22228979;0755-22228970;010-66238800;010-57041207,weihouren@cscec.com,zjkjgs@cscec.com;jiang_nan001@cscec.com
广西扬翔股份有限公司,存续,莫金枝,44464.2364万人民币,44464.2364万人民币,1998-04-28,2018-11-20,1998-04-28  至 无固定期限,广西壮族自治区,贵港市,港南区,9145080070864475XF,9145080070864475XF,450800200000445,70864475-X,8,股份有限公司(非上市、自然人投资或控股),农副食品加工业,"贵港扬翔饲料有限公司	;	广西壮族自治区扬翔饲料有限公司	",贵港市江南工业园区城东大道与工业一路交汇处东北角,贵港市江南工业园区城东大道与工 业一路交汇处东北角,http://www.yangxiang.com/,18778900681,18778900681;0775-4551612;0775-6797796,18778900681@139.com,734259464@qq.com
郑州思念食品有限公司,存续,王鹏,6600万美元,6600万美元,2005-09-29,2020-06-09,2005-09-29  至 无固定期限,河南省,郑州市,惠济区,914101007794205343,914101007794205343,410100400000198,77942053-4,1492,有限责任公司(外国法人独资),食品制造业,-,郑州市惠济区英才街13号,郑州市惠济区英才街13号,www.synear.com,0371-65697086,0371-65697086;0371-65697081;0371-63398151,synear@synear.com,-
浙江天正电气股份有限公司,存续,高天乐,40386.2万人民币,11395.978万人民币,1999-10-29,2022-07-25,1999-10-29 至 9999-12-31,浙江省,温州市,乐清市,91330000717612987P,91330000717612987P,330000000006203,717612987,2873,其他股份有限公司(上市),电气机械和器材制造业,-,浙江省乐清市柳市镇苏吕工业区,浙江省乐清市柳市镇苏吕工业区,220.189.247.9,13968795080,13968795080;0577-57165555;0577-57166555;0577-62776776;0757-26930123;13690558835;18815127689,gaofeng@tengen.com.cn,gaofeng@tengen.com
浙江一鸣食品股份有限公司,存续,朱立科,40100万人民币,-,2005-09-13,2021-03-05,2005-09-13  至 无固定期限,浙江省,温州市,平阳县,913303007793989040,913303007793989040,330300000023096,779398904,1309,其他股份有限公司(上市),食品制造业,-,浙江省温州市平阳县一鸣工业园,浙江省温州市平阳县一鸣工业园,http://www.inm.cn/,400-136-5365,400-136-5365;13868360167;0577-88316235,987481588@qq.com,-
爱玛科技集团股份有限公司,存续,张剑,57470.0004万人民币,40366.0003万人民币,1999-09-27,2022-09-30,1999-09-27  至 无固定期限,天津市,天津市,静海区,9112000071821557X4,9112000071821557X4,120223000003086,71821557X,825,股份有限公司(上市),铁路、船舶、航空航天和其他运输设备制造业,"天津泰美车业有限公司	;	天津爱玛科技股份有限公司	;	爱玛科技股份有限公司	",天津市静海经济开发区南区爱玛路5号,天津市静海区经济开发区南区爱玛路5号,http://www.aimatech.com/,-,-,xuchunqing@aimatech.com,-
昆山科森科技股份有限公司,存续,徐金根,55754.939万人民币,26580.3481万人民币,2010-12-01,2022-09-20,2010-12-01  至 无固定期限,江苏省,苏州市,昆山市,91320500565336601D,91320500565336601D,320583000416321,565336601,1963,股份有限公司(上市、自然人投资或控股),金属制品业,"昆山科森科技有限公司	",昆山开发区新星南路155号,昆山市开发区新星南路155号,www.kersentech.com,0512-57478666,0512-57478666,hongxia_chen@kersentech.com,-
上海起帆电缆股份有限公司,存续,周桂华,41819.7万人民币,20056万人民币,1994-07-11,2021-10-19,1996-11-15  至 无固定期限,上海市,上海市,金山区,913101166078754287,913101166078754287,310229000083120,60787542-8,2037,股份有限公司(上市、自然人投资或控股),电气机械和器材制造业,"上海起帆电线电缆有限公司	;	上海起帆电线电缆股份有限公司	",上海市金山区张堰镇振康路238号,金山区张堰镇振康路238号,www.qifancable.com,021-33691999,021-33691999,shqifancable@163.com,-
火星人厨具股份有限公司,存续,黄卫斌,40500万人民币,40500万人民币,2010-04-08,2021-02-02,2010-04-08 至 9999-09-09,浙江省,嘉兴市,海宁市,91330481554013049C,91330481554013049C,330481000074399,554013049,1760,股份有限公司(上市、自然人投资或控股),电气机械和器材制造业,"浙江火星人厨具有限公司	",浙江省海宁市尖山新区新城路366号,浙江省海宁市尖山新区新城路366号,marssenger.net,0573-87019995,0573-87019995;0573-87019272,dongshiban@marssenger.com,-
科华数据股份有限公司,存续,陈成辉,46156.7391万人民币,46156.7391万人民币,1999-03-26,2021-01-18,1999-03-26  至 无固定期限,福建省,厦门市,湖里区,91350200705404670M,91350200705404670M,350298200000533,705404670,1970,其他股份有限公司(上市),电气机械和器材制造业,"厦门科华恒盛股份有限公司	;	科华恒盛股份有限公司	",厦门火炬高新区火炬园马垄路457号,厦门火炬高新区火炬园马垄路457号,www.xmkehua.com.cn,400-808-9986,400-808-9986;13030887610;0592-5160516,kehua@kehua.com,mengfanfei@kehua.com;linxian@kehua.com
深圳市卓宝科技股份有限公司,存续,邹先华,36000万人民币,36000万人民币,2001-05-22,2021-10-22,2001-05-22  至 无固定期限,广东省,深圳市,福田区,91440300728579238Y,91440300728579238Y,440301102812067,72857923-8,481,股份有限公司(非上市),非金属矿物制品业,"深圳市卓宝科技有限公司	",深圳市福田区卓越梅林中心广场北区2栋16层,深圳市福田区卓越梅林中心广场北区2栋16层,www.zhuobao.com,0755-36800118,0755-36800118;0755-33052266;0379-63205493;0755-83166906;18638826158;13682101430;15833242427,fr@zhuobao.com,zhuobao@zhuobao.com
上海微创医疗器械（集团）有限公司,存续,常兆华,35000万,35000万,1998-05-15,2022-06-02,1998-05-15 至 2038-05-14,上海市,上海市,浦东新区,91310000607389788T,91310000607389788T,310115400053238,60738978-8,527,有限责任公司(外商合资),专用设备制造业,"微创医疗器械（上海）有限公司	",中国（上海）自由贸易试验区张东路1601号,中国（上海）自由贸易试验区张东路1601号,http://www.microport.com,021-38954600,021-38954600,liangbin@microport.com,lqian@microport.com;lqian@miroport.com
四川德康农牧食品集团股份有限公司,存续,王德辉,36196.3636万人民币,32267万人民币,2014-04-11,2021-12-24,2014-04-11  至 无固定期限,四川省,成都市,双流区,91510122096784048U,91510122096784048U,510122000176876,096784048,332,其他股份有限公司(非上市),食品制造业,"四川德康农牧科技有限公司	",成都市双流区临港路一段32号成都东航中心2号楼9层901-909单元,成都市双流区临港路一段32号成都东航中心2号楼9层901-909单元,https://www.dekanggroup.com/,028-62588302,028-62588302;13547990932;028-85883830,563642435@qq.com,236520388@qq.com;sichuandekang@163.com
九牧厨卫股份有限公司,存续,林孝发,30000万人民币,30000万人民币,2010-12-30,2021-02-04,2010-12-30 至 2060-12-29,福建省,泉州市,南安市,913505005673244367,913505005673244367,350500100054536,56732443-6,4272,股份有限公司(非上市、自然人投资或控股),电气机械和器材制造业,"九牧股份有限公司	",福建省南安经济开发区九牧工业园,福建省南安经济开发区九牧工业园（经营场所：泉州市南安市仑苍镇登峰工业区28号）,http://www.jomoo.com.cn/,0595-86149999,0595-86149999;18859969566,jomoo@jomoo.cn,guotingting@jomoo.cn
酒鬼酒股份有限公司,存续,王浩,32492.898万人民币,10072.73万人民币,1997-07-14,2022-06-30,1997-07-14  至 无固定期限,湖南省,湘西土家族苗族自治州,吉首市,91433100183806380W,91433100183806380W,430000000037884,18380638-0,1292,其他股份有限公司(上市),非金属矿物制品业,"湖南酒鬼酒股份有限公司	",湖南省吉首市峒河街道振武营村,湖南省吉首市峒河街道振武营村,http://www.jiuguijiu000799.com/,0743-8312290,0743-8312290;0743-8312030;0731-88186030,jgj000799@126.com,-
贵州茅台集团健康产业有限公司,存续,汪智明,30000万人民币,14700万人民币,2014-05-23,2020-11-05,2014-05-23 至 2044-05-23,辽宁省,铁岭市,西丰县,912112233993842441,912112233993842441,211223004021601,39938424-4,152,其他有限责任公司,酒、饮料和精制茶制造业,"贵州茅台集团健康产业西丰有限公司	",辽宁省铁岭市西丰县生命健康产业园区铁南路20号,辽宁省铁岭市西丰县生命健康产业园区铁南路20号,http://www.mtjthj.com/,024-77875566,024-77875566;024-77999969;0410-77999969;18311697075,gzmt77999969@163.com,-
山东星宇手套有限公司,开业,周星余,28800万人民币,28800万人民币,2005-04-14,2020-03-04,2005-04-14 至 2025-04-13,山东省,潍坊市,高密市,9137078577418160X7,9137078577418160X7,370785228016739,77418160X,2084,有限责任公司(自然人投资或控股),纺织业,"高密市星宇劳保用品有限公司	",山东省潍坊市高密经济开发区姚前路中段,山东省潍坊市高密经济开发区姚前路中段,xy-glove.com,0536-2582678,0536-2582678;15053658367;0536-2580729;13963671237;13780880398;0536-2356789;15065687938;0536-2585300;15105178833,xingyugloves@163.com,chiliming4559@163.com;zhouxy@xy-glove.com
四川沱牌舍得集团有限公司,存续,杨中淇,23224万人民币,23224万人民币,1995-05-28,2020-11-30,2005-05-24  至 无固定期限,四川省,遂宁市,射洪市,91510922206360562E,91510922206360562E,510922000003644,20636056-2,63,其他有限责任公司,酒、饮料和精制茶制造业,"四川沱牌集团有限公司	",四川省射洪市沱牌镇沱牌大道999号,四川省射洪市沱牌镇沱牌大道999号,-,0825-6618166,0825-6618166;18982598007;0825-6618258,120819376@qq.com,-
完美（中国）有限公司,开业,古润金,3800万美元,3800万美元,1995-06-08,2022-01-05,1995-06-08 至 2025-06-18,广东省,中山市,-,91442000617592341J,91442000617592341J,442000400008761,61759234-1,597,有限责任公司(中外合资),食品制造业,-,中山市石岐区孙文东路28号完美金鹰广场办公楼3-15层,中山市石岐区孙文东路28号完美金鹰广场办公楼3-15层,http://www.perfect99.com,0760-88701828,0760-88701828;15223118417,perfect@perfect99.com,perfect@perfect.com;jy88823@perfect99.com;jy@perfect99.com
山东东宏管业股份有限公司,开业,倪奉尧,25738.66万人民币,14791.2万人民币,2008-01-21,2022-09-27,2008-01-21  至 无固定期限,山东省,济宁市,曲阜市,913708006722078217,913708006722078217,370881200000823,67220782-1,1140,股份有限公司(上市),橡胶和塑料制品业,"曲阜东方橡塑制品有限公司	;	曲阜市东方新材料有限公司	;	山东东宏管业有限公司	",曲阜市东宏路1号,曲阜市东宏路1号,http://www.dhguanye.com/,0537-4640986,0537-4640986;15588775793;15588775787;0537-4644999;15064761127;18954071828;15588775710;13884729499,zqb@dhguanye.com,fd@dhguanye.com;sddhgycwzx@163.com;xingzhengbu@dhguangye.com;xingzhengbu@dhguanye.com
河南亚都实业有限公司,存续,韩立涛,26000万人民币,25624.6万人民币,2001-06-28,2022-09-19,2001-06-28  至 无固定期限,河南省,新乡市,长垣市,91410728729606285J,91410728729606285J,410728100007002,72960628-5,651,有限责任公司(自然人投资或控股),医药制造业,"河南华星电气有限公司	;	新乡市亚都卫材有限公司	",长垣市蒲西区建蒲西路234号,长垣市蒲西区建蒲西路234号,www.yadugroup.com,0373-8883000,0373-8883000,service@yadugroup.com,-
好医生药业集团有限公司,存续,耿福昌,23200万人民币,23200万人民币,1998-12-18,2021-11-22,2006-11-24  至 无固定期限,四川省,绵阳市,安州区,91510724708973633Q,91510724708973633Q,510724000004038,708973633,361,有限责任公司（自然人投资或控股的法人独资）,医药制造业,"四川好医生制药有限公司	;	四川好医生药业集团有限公司	",四川绵阳安州工业园区,四川绵阳安州工业园区,www.hys.cn,0816-4331408,0816-4331408,hys@126.com,-
人民电器集团有限公司,存续,郑元豹,20000万人民币,20000万人民币,1996-04-03,2020-05-08,1996-04-03 至 9999-09-09,浙江省,温州市,乐清市,9133038225602433XW,9133038225602433XW,330382000103302,25602433-X,243,有限责任公司（非自然人投资或控股的法人独资）,电气机械和器材制造业,"浙江人民电器集团有限公司	",浙江省乐清市经济开发区(柳市人民工业园),浙江省温州市乐清市柳市镇柳乐路555号（东门）,http://www.chinapeople.com,0577-62730688,0577-62730688;15669753111;0577-62730715;0577-62848810;13326196900;18257771055;18257719779;0577-62738888,people@chinapeople.com,-
深圳市海目星激光智能装备股份有限公司,存续,赵盛宇,20172.65万人民币,20000万人民币,2008-04-03,2022-09-26,2008-04-03  至 无固定期限,广东省,深圳市,龙华区,914403006729969713,914403006729969713,440306103268566,67299697-1,1395,其他股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市海目星激光科技有限公司	",深圳市龙华区观湖街道鹭湖社区观盛五路科姆龙科技园B栋301,深圳市龙华区观澜街道君子布社区环观南路26号101,http://www.hymson.com,0755-28037766,0755-28037766;0755-23325470,heqin@hymson.com,sunxiaodong@hymson.com;lixiaojing@hymson.com;zhouyi@hymson.com
江山欧派门业股份有限公司,存续,吴水根,13658.5163万人民币,10506.0879万人民币,2006-07-31,2022-08-23,2006-07-31 至 9999-09-09,浙江省,衢州市,江山市,91330800792060211R,91330800792060211R,330881000003772,79206021-1,849,其他股份有限公司(上市),金属制品业,"江山欧派门业有限公司	",浙江省衢州市江山市贺村镇淤头村淤达山自然村8号,浙江省衢州市江山市贺村镇淤头村淤达山自然村8号,www.zjopai.cn,0570-4729337,0570-4729337;0570-4729100;13325700487;13392206111,ysg631616@163.com,-
研祥智能科技股份有限公司,存续,陈志列,12331.44万人民币,12331.44万人民币,1993-12-22,2021-08-04,1993-12-22 至 5000-01-01,广东省,深圳市,南山区,914403006188674153,914403006188674153,440301102883847,61886741-5,204,股份有限公司,计算机、通信和其他电子设备制造业,"深圳研祥机电实业有限公司	;	深圳和记星机电实业有限公司	;	深圳市研祥智能科技有限公司	;	深圳市研祥智能科技股份有限公司	",深圳市南山区高新中四道31号研祥科技大厦,深圳市南山区高新中四道31号研祥科技大厦,http://www.evoc.cn/,0755-86255886,0755-86255886;0755-86335160;18025395001;0755-86255888;15220235445,gnzhan@evoc.cn,hr@evoc.cn
劲牌有限公司,存续,吴少勋,11405.8万人民币,11405.8万人民币,1997-08-04,2019-04-17,1997-08-04  至 无固定期限,湖北省,黄石市,大冶市,91420200615481883L,91420200615481883L,420200020081338,61548188-3,675,有限责任公司(自然人投资或控股),化学原料和化学制品制造业,-,湖北省大冶市大冶大道169号,湖北省大冶市大冶大道169号,http://www.jingpai.com/,0714-8761818,0714-8761818,zscq@jingpai.com,-
山东格瑞德集团有限公司,开业,管印贵,10000万人民币,-,2000-08-02,2021-07-09,2000-08-02  至 无固定期限,山东省,德州市,德城区,91371400724953026A,91371400724953026A,371400228019412,72495302-6,1436,有限责任公司(自然人投资或控股),通用设备制造业,"山东德通实业有限公司	",德州市天衢工业园格瑞德路6号,德州市天衢工业园格瑞德路6号,https://www.gradgroup.com/,0534-2730888,0534-2730888;0534-2730871;0534-2730800;0534-2230365;0534-6365557;15266919998;0534-2316881;15953773288;15998780885;0534-6355888;15505345893;18905443789;13053405000;15505347930;0534-2645558;17658386566;15505349332;0534-1550534-9;15505345631;15505345575;15505345576;18053455444;15505345465;13573452127;15947030713;13969236802,grad7006@163.com,17653405293@163.com;gradf05@163.com
程力专用汽车股份有限公司,存续,程阿罗,10000万人民币,10000万人民币,2004-09-16,2022-01-10,2004-09-16  至 无固定期限,湖北省,随州市,曾都区,91421300764141823Q,91421300764141823Q,421300400000410,76414182-3,950,其他股份有限公司(非上市),汽车制造业,"湖北程力专用汽车有限公司	",湖北省随州市曾都区南郊,随州市擂鼓墩大道北段369号,www.chenglix.com,0722-3331866,0722-3331866,ip0722@163.com,-
科大国盾量子技术股份有限公司,存续,彭承志,8019.232万人民币,6000万人民币,2009-05-27,2022-10-04,2009-05-27  至 无固定期限,安徽省,合肥市,合肥新站高新技术产业开发区,9134010068976734XU,9134010068976734XU,340106000030885,68976734X,254,其他股份有限公司(上市),计算机、通信和其他电子设备制造业,"安徽量子通信技术有限公司	",合肥市高新区华佗巷777号科大国盾量子科技园,合肥市高新区文曲路与华佗巷交口科大国盾量子科技园,http://www.quantum-comm.com/,66185117,66185117,hui.yang@quantum-info.com,-
贵州千硕建设（集团）有限公司,存续,王玉霞,8192万人民币,-,2019-06-24,2022-03-15,2019-06-24  至 无固定期限,贵州省,六盘水市,水城县,91520221MA6HRT1L8R,91520221MA6HRT1L8R,520221000327704,MA6HRT1L8,2,有限责任公司（自然人投资或控股的法人独资）,文教、工美、体育和娱乐用品制造业,"贵州民荣建设工程有限公司	",贵州省六盘水市盘州市水城县双水街道双水社区南环路水泥厂路口星源汽贸城楼上,贵州省六盘水市水城县双水街道双水社区南环路水泥厂路口星源汽贸城楼上,-,15632604857,15632604857,15519550661@qq.com,-
宁波方太厨具有限公司,存续,茅忠群,5319.1489万人民币,5319.1489万人民币,1995-05-22,2021-08-17,2006-08-24 至 9999-09-09,浙江省,宁波市,-,9133020114479257XW,9133020114479257XW,330200400025891,14479257-X,4043,有限责任公司(自然人投资或控股),电气机械和器材制造业,-,浙江省宁波杭州湾新区滨海二路218号,浙江省宁波杭州湾新区滨海二路218号,http://www.fotile.com,400-031-5315,400-031-5315;0574-23456328;0574-23456666;0574-63021114,service@fotile.com,-
深圳市通拓科技有限公司,存续,邹春元,4786.8031万人民币,4786.8031万人民币,2004-06-09,2022-02-10,2004-06-09 至 5000-01-01,广东省,深圳市,龙岗区,914403007634628367,914403007634628367,440301103277514,76346283-6,1373,有限责任公司（法人独资）,计算机、通信和其他电子设备制造业,-,深圳市龙岗区平湖街道华南大道一号华南国际皮革皮具原辅料物流区二期5层5G-155-5G-165号,深圳市龙岗区平湖街道华南大道一号华南国际皮革皮具原辅料物流区二期5层5G-155-5G-165号,www.tomtop.cn,0755-84501316,0755-84501316,2885542008@qq.com,-
中芯国际集成电路制造（北京）有限公司,存续,高永岗,100000万美元,100000万美元,2002-07-25,2021-12-10,2018-02-09 至 2068-02-08,北京市,北京市,大兴区,911103027404017237,911103027404017237,110000410172412,74040172-3,2870,有限责任公司(外国法人独资),计算机、通信和其他电子设备制造业,"北京中芯环球半导体有限公司	",北京市北京经济技术开发区文昌大道18号,北京市经济技术开发区文昌大道18号,www.smics.com,010-67855000,010-67855000;010-67855000-21859,bin_zhangb@smics.com,winnie_li@smics.com;candice_li@smics.com;christine_wang@smics.com;yoyo_zhang@smics.com
沈阳昌隆鑫不锈钢商展道具有限公司,存续,崔武昌,1000万人民币,1000万人民币,2012-03-20,2020-04-11,2012-03-20 至 2062-03-19,辽宁省,沈阳市,于洪区,91210114589394646P,91210114589394646P,210114000069341,58939464-6,14,有限责任公司(自然人投资或控股),金属制品业,-,沈阳市于洪区白沙街2-3号,辽宁省沈阳市于洪区白沙街2-3号,-,15640256836,15640256836;024-88096000;024-89367986;024-89367996,1311008271@qq.com,2366515119@qq.com;270772396@qq.com;sy210106569400551@163.com
南昌华勤电子科技有限公司,存续,陈晓蓉,204100万人民币,204100万人民币,2017-04-21,2021-01-19,2017-04-21  至 无固定期限,江西省,南昌市,-,91360106MA35WNBE9F,91360106MA35WNBE9F,360106110001312,MA35WNBE9,4174,有限责任公司（非自然人投资或控股的法人独资）,计算机、通信和其他电子设备制造业,-,江西省南昌市南昌高新技术产业开发区天祥大道2999号,江西省南昌市南昌高新技术产业开发区天祥大道2999号,-,0791-82199888,0791-82199888;18942224962;0791-86178394,tujian@huaqin.com,caimang@huaqin.com;caimang@huabel.com;huiyouyou@huaqin.com
日照三奇医疗卫生用品有限公司,开业,王常申,1000万人民币,1000万人民币,1993-03-29,2022-04-28,1993-03-29  至 无固定期限,山东省,日照市,-,91371100168371999W,91371100168371999W,371100228013079,16837199-9,299,有限责任公司(自然人投资或控股),医药制造业,-,山东省日照市高新区日照北路137号,山东省日照市高新区日照北路137号,http://www.sanqicn.com/,0633-7663737,0633-7663737;0633-8541508;0633-8535139,zsr_sanqi@126.com,3qmedical@3qcn.cc;2qmedical@2qcn.cc
广东玺茜日化商贸有限公司,开业,井玉坤,1000万人民币,-,2018-10-30,2021-06-02,2018-10-30  至 无固定期限,广东省,佛山市,南海区,91440605MA52ETCC8Y,91440605MA52ETCC8Y,440682001231912,MA52ETCC8,60,有限责任公司(自然人投资或控股),专用设备制造业,-,佛山市南海区里水镇洲村里广路62号C401、402号（住所申报）,佛山市南海区里水镇洲村里广路62号C401、402号（住所申报）,www.jlv2018.com,18923187837,18923187837;18022244533,841652871@qq.com,13160910111@163.com
远大阀门集团有限公司,存续,闫国平,23000万人民币,23000万人民币,2002-05-10,2021-10-11,2002-05-10  至 无固定期限,河北省,邢台市,隆尧县,91130525721609633G,91130525721609633G,130000000006572,72160963-3,1738,有限责任公司(自然人投资或控股),通用设备制造业,"河北远大阀门集团有限公司	",河北省隆尧县西尹村,河北省邢台市隆尧县尹村镇西尹村远大阀门集团工业园,www.hbyuanda.com,0319-6625088,0319-6625088,cwb@hbyuanda.com,-
上海良工阀门厂有限公司,存续,陈德生,8000万人民币,8000万人民币,1981-06-30,2020-09-16,1981-06-30 至 2055-08-15,上海市,上海市,宝山区,913101131332070132,913101131332070132,310113000000097,13320701-3,114,有限责任公司(自然人投资或控股),通用设备制造业,"上海良工阀门厂	",上海市宝山区锦宏路68号,上海市宝山区锦宏路68号,www.lgvf.com,17821115111,17821115111,lg01@lgvf.com,-
深圳市海思半导体有限公司,存续,徐直军,200000万人民币,200000万人民币,2004-10-18,2019-07-11,2004-10-18 至 2024-10-18,广东省,深圳市,龙岗区,914403007675804181,914403007675804181,440301103335228,767580418,386,有限责任公司（法人独资）,计算机、通信和其他电子设备制造业,-,深圳市龙岗区坂田华为基地华为电气生产中心,深圳市龙岗区坂田华为基地华为电气生产中心,http://www.hisilicon.com,0755-28780808,0755-28780808;0755-28789473;0755-28979417;0755-2878080,liulinjun@huawei.com,-
广州福耀玻璃有限公司,开业,曹德旺,7500万美元,-,2006-06-08,2021-06-08,2006-06-08 至 2041-06-08,广东省,广州市,增城区,91440183788918844K,91440183788918844K,440101400121042,788918844,2093,有限责任公司(台港澳与境内合资),专用设备制造业,-,广州市增城市新塘镇荔新公路段,广州增城市新塘镇新耀南路1号,-,020-32876066,020-32876066;020-32876220;020-32876068,gzfy.public@fuyaogroup.com,public@fuyaogroup.com;jiheui.qiao@fuyaogroup.com;jie.tan@fuyaogroup.com
中国铁路成都局集团有限公司,存续,冯定清,33297040万人民币,33297040万人民币,1995-02-13,2022-01-28,1995-02-13  至 无固定期限,四川省,成都市,金牛区,91510000621601466X,91510000621601466X,510000000064738,621601466,121445,有限责任公司（非自然人投资或控股的法人独资）,金属制品、机械和设备修理业,"成都铁路局	",成都市一环路北二段11号,四川省成都市一环路北二段11号,ctxwzx.cn,028-86439150,028-86439150,cdtljyx@163.com,-
北京汽车股份有限公司,存续,陈巍,801533.8182万人民币,801533.8182万人民币,2010-09-20,2022-07-01,2013-11-26 至 2063-11-25,北京市,北京市,顺义区,91110000562091696T,91110000562091696T,110000013242002,56209169-6,1778,股份有限公司（外商投资、上市）,汽车制造业,-,北京市顺义区双河大街99号院1幢五层101内A5-061,北京市顺义区双河大街99号 北汽研发基地,www.baicmotor.com,010-56635595,010-56635595;56635728,wuzhihai@baicmotor.com,-
松下电器（中国）有限公司,存续,本间哲朗,176498.5382万美元,176498.5382万美元,1994-08-11,2022-09-29,1994-08-11  至 无固定期限,北京市,北京市,朝阳区,91110000625906670H,91110000625906670H,100000400005105,62590667-0,214,有限责任公司(外国法人独资),仪器仪表制造业,-,北京市朝阳区景华南街5号远洋光华中心C座3层、6层,北京市朝阳区景华南街5号远洋光华国际C座3F、6F,http://panasonic.cn/,010-65626688,010-65626688;010-65626100;010-65626392,panasonic@cn.panasonic.com,songzheng@cn.panasonic.com;jialidong@cn.panasonic.com;fanchunhui@cn.panasonic.com;weijinjia@cn.panasonic.com;zhangyue03@cn.panasonic.com;fuweihua@cn.panasonic.com
